geneA,geneB,weight
MEP1B,XPNPEP2,1.0
FN1,ITGAM,1.0
HLA-G,LILRA1,-0.999979060708128
CLDN18,OCLN,0.9999999999999969
ADAMTS4,COL3A1,1.0
IGFBP5,LUM,-0.7099952643952123
ADAMTS2,COL1A1,1.0
CD28,CD38,-0.9999999999999816
IL16,LTA,-0.9994950737309777
APOB,OLR1,0.9999984178405759
IL1A,ITGAX,-0.9997985568334058
EDN3,HCAR2,-0.9999554395416922
CXCL9,IFNG,-0.9999993222757982
CXCL9,PTPRC,0.9824383626277933
ADAM33,SPINK5,-0.38860020978596227
DEFA5,MMP7,0.9999992464773106
SLC15A1,SLC6A19,1.0
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999999967274272
CCL13,CXCR1,-0.9999999922160858
CXCL10,SOCS1,0.9999999549237895
ADCYAP1,GCG,-0.9999999999457464
CCL25,CXCL3,-1.0
CCL4L2,CCR4,-0.9999999999999897
FCGBP,MUC2,-0.9694085999368977
IL1A,IL6,0.9985557670460559
MMP12,TIMP1,-0.9999990010890978
PROM1,SEMA4A,-0.9999999999980403
NCF2,PRKCB,0.9999999991131259
LTF,SLC11A1,1.0
ACE2,VWF,-0.9999999999994376
ADH6,UGT2B17,1.0
HGF,MMP1,0.9999992827029818
BLK,CD19,-0.9999999999761675
LCN2,MMP9,-0.9999999496835238
HSPG2,LRP8,-0.9990244892365261
APOE,ICAM1,-0.9999999999999996
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.992966425778803
CD274,LILRB1,1.0
CD79B,CXCL9,0.999999996676388
CD40,SELP,-1.0
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.9999998963692253
FCAR,FCGR3B,0.9999995721294677
C3,MMP9,-1.0
CXCL10,IL1B,-0.9999999999999999
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,0.9997212043122231
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999999192
NTRK2,SH2B2,-1.0
FCMR,VPREB3,0.9983725678232864
FOXP3,TNF,-1.0
COL14A1,LUM,-1.0
COL3A1,FN1,1.0
CYP2B6,CYP4F2,0.9977980323638552
GBP4,IFI44L,-0.9742220067151899
PTGS2,TNFAIP3,0.9999999999420458
SAMD9L,TRIM22,-1.0
DOCK4,RPS28,0.9997738054529651
CCL2,CXCR1,0.9999999999999434
CHI3L1,IL13RA2,1.0
