geneA,geneB,weight
MEP1B,XPNPEP2,1.0
FN1,ITGAM,1.0
HLA-G,LILRA1,-0.9999881748348232
CLDN18,OCLN,0.9999999999999953
ADAMTS4,COL3A1,1.0
ADAMTS2,COL1A1,1.0
CD28,CD38,-0.9999999999991739
IL16,LTA,-0.9987725513802156
APOB,OLR1,0.9999998743068458
IL1A,ITGAX,-0.9999963513318753
EDN3,HCAR2,-0.9839954311096811
CXCL9,IFNG,-0.9999978949821556
CXCL9,PTPRC,0.9982509297583061
ADAM33,SPINK5,-0.5886251151730817
DEFA5,MMP7,0.9999980230714591
SLC15A1,SLC6A19,1.0
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999999987094758
CCL13,CXCR1,-0.9999999967559263
CXCL10,SOCS1,0.9999999643592239
ADCYAP1,GCG,-0.9999999999880589
CCL25,CXCL3,-1.0
CCL4L2,CCR4,-0.9999999999999815
IL1A,IL6,-0.8140480435339976
MMP12,TIMP1,-0.9999984354702188
PROM1,SEMA4A,-0.9999999999990098
NCF2,PRKCB,0.9999999999500105
LTF,SLC11A1,1.0
ACE2,VWF,-0.9999999999988402
ADH6,UGT2B17,1.0
HGF,MMP1,0.9999955765077382
BLK,CD19,-0.9999999999741511
LCN2,MMP9,-0.9999997366864601
HSPG2,LRP8,-0.9996745193887535
APOE,ICAM1,-0.9999999999999996
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.9030172373012432
CD274,LILRB1,1.0
CD79B,CXCL9,0.9999999999482325
CD40,SELP,-0.9999999999999999
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.9999996323570426
FCAR,FCGR3B,0.9999991681626876
C3,MMP9,-0.9999999999999999
CXCL10,IL1B,-1.0
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,0.9979043284318021
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999999751
NTRK2,SH2B2,-0.9999999999999998
FCMR,VPREB3,0.999363279919797
FOXP3,TNF,-0.9999999999999996
ANPEP,PTPRC,0.3653999753819468
COL14A1,LUM,-0.9999999999999999
COL3A1,FN1,1.0
CYP2B6,CYP4F2,0.9831528147936992
GBP4,IFI44L,-0.9911457750930365
PTGS2,TNFAIP3,0.9999999999836184
SAMD9L,TRIM22,-0.9999999999999996
DOCK4,RPS28,0.9997076681570756
CCL2,CXCR1,0.9999999999996769
CHI3L1,IL13RA2,0.9999999999999998
