geneA,geneB,weight
MEP1B,XPNPEP2,0.9999713023301768
FN1,ITGAM,1.0
HLA-G,LILRA1,0.9378381733786654
CLDN18,OCLN,0.9999999999999999
ADAMTS4,COL3A1,1.0
IGFBP5,LUM,0.9356408539251488
ADAMTS2,COL1A1,0.9999999998534921
CD28,CD38,-1.0
IL16,LTA,0.9999999970088057
APOB,OLR1,0.9999999999974907
IL1A,ITGAX,0.29558029313616896
EDN3,HCAR2,0.8950063215148004
CXCL9,IFNG,-0.9995867934034991
CXCL9,PTPRC,-0.9993472092539812
ADAM33,SPINK5,0.9999996834308377
DEFA5,MMP7,0.9999999998149114
SLC15A1,SLC6A19,-0.999997589573952
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999999200349009
CCL13,CXCR1,-0.9999999130718564
CXCL10,SOCS1,-0.8847365341718244
ADCYAP1,GCG,-0.3779398258980837
CCL25,CXCL3,-0.9999999999999999
CCL4L2,CCR4,-0.9999999999999843
FCGBP,MUC2,0.9999999999958398
IL1A,IL6,-0.9998819203958529
MMP12,TIMP1,-0.999999957720229
PROM1,SEMA4A,-0.9999999975620154
NCF2,PRKCB,0.9999999999771123
LTF,SLC11A1,1.0
ACE2,VWF,0.9999878324532915
ADH6,UGT2B17,1.0
HGF,MMP1,-0.9996810582566159
BLK,CD19,-0.9999973667925116
LCN2,MMP9,-0.9999999888072377
HSPG2,LRP8,0.7361260794859074
APOE,ICAM1,-1.0
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.9999311144854516
CD274,LILRB1,1.0
CD79B,CXCL9,0.9988227512144022
CD40,SELP,-0.9999999999999997
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.9999998769928984
FCAR,FCGR3B,-0.9999998627334897
C3,MMP9,-0.9191794750017386
CXCL10,IL1B,-1.0
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,-0.9999825862331451
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999898759
NTRK2,SH2B2,-1.0
FCMR,VPREB3,-0.8502285376730246
FOXP3,TNF,-1.0
ANPEP,PTPRC,-0.9678919878475281
COL14A1,LUM,-0.9999999998716044
COL3A1,FN1,0.9999999176299024
CYP2B6,CYP4F2,-0.9999999999966733
GBP4,IFI44L,0.9999768861922226
PTGS2,TNFAIP3,0.9999999984955813
SAMD9L,TRIM22,-0.9999994263141213
CCL2,CXCR1,0.9999968253512016
CHI3L1,IL13RA2,0.9893314431215631
ADCY7,PKLR,-0.9879781177256145
CNTFR,CSF3,0.9999999999997203
BPIFB1,MUC5B,-0.9961014463594041
MADCAM1,SELL,-1.0
CD14,FCER1G,-0.8805728233494499
ITGB7,VCAM1,-0.995417572930663
CTSG,LYZ,-0.9999999999996713
PHLPP2,PLEK,-1.0
FCGR3A,IFNG,-0.9623709341178845
CCL22,CXCR1,1.0
CCL2,ITGAX,0.9999996120697946
ICOS,ITK,-1.0
FCGR3A,PTPRC,0.9999992976084068
PADI4,VWF,-0.9999999979744348
BLK,CXCR5,0.9999987794302143
HLA-DQA2,PDCD1LG2,0.8395025389333512
CXCL10,RETNLB,-1.0
GZMB,KLF2,0.9999999151753385
FCRL5,MS4A1,-1.0
CCR1,FCER1G,-0.9995649784742169
CD1C,CR2,-0.9999999999283066
HLA-DQA2,PDCD1,0.9828321132973955
COL4A3,ITGB7,-0.9999999993819257
AIM2,NLRC5,-0.9999910446156841
CYP26B1,CYP2B6,-0.9999999999999944
IL1B,SOCS3,0.9699879640405341
CTHRC1,POSTN,-0.9999869456594453
COL18A1,FN1,-0.9999999994800503
CCL2,IL6,1.0
CD79B,CR2,-0.9925386860486841
CCL20,CXCR4,-1.0
ITGAX,STAT1,0.977371448373813
CXCL10,TLR2,0.9999999997602486
CYP2C9,CYP2D6,0.9995518045624664
FN1,TNFAIP6,0.999999990444107
IFITM3,OAS2,0.9999999970835002
CCR1,CXCL9,-1.0
NCF2,RAC2,0.9999999995500154
CD79A,TCL1A,0.9998532134447305
ACE2,ITGB1,-0.9999999598426254
LTBP2,TGFB3,-0.9999999371534356
S100A12,S100A9,0.999775515405371
CD22,ITGAX,-0.9999999888166182
SEC24C,SEC31B,-0.9999999999999346
CCL22,CCL4,0.9999999999999912
ITGAM,NCF2,1.0
IDO1,ITGAX,0.7595451897061236
CXCL10,ITGAM,0.9999999998204528
CD40,STAT1,1.0
ADH6,DGAT1,-0.5679345052372952
CD40,CD83,1.0
CSF3R,OSM,-0.9999999635447006
EGR1,ERBB3,0.9999995676350906
HIF1A,IL6,0.9999228116339043
BGN,CHAD,-1.0
ARHGAP9,SASH3,0.99999999678599
AICDA,POU2AF1,-0.9984865681083877
ICAM1,ITGAX,-0.9999999999524245
ITGB2,PTPRC,-0.9999997840423774
SNAI1,TWIST1,1.0
APOB,GPT,0.38196944312910874
AGR2,FABP2,1.0
LY9,SLAMF1,-1.0
CXCL5,ICAM1,0.999999999999997
MMRN1,SELP,-0.999999883814547
CD1C,IFNG,0.9999999999993386
GP1BA,ICAM1,-0.9999999999999943
CD19,SPIB,-0.9999999984201824
CD28,CD48,-0.999999999567919
PI3,PIK3CD,-0.8985525542060918
CD1C,PTPRC,-0.9999999999984143
HBEGF,PGF,0.9997488422270001
APOA1,GPT,-0.9999999998297047
MUC13,MUC5B,0.9997218398611436
REG1B,REG3A,1.0
FOXP3,TNFRSF4,-0.999999999991207
IL6,LTA,0.9999999879440199
APOB,PLA2G12B,-0.9954890136623443
CD5,IL7R,-1.0
ICAM1,IL6,0.9999977125040045
HCAR2,SLC5A8,-1.0
CD72,CD79A,-1.0
CCL19,IFNG,0.9999994707424126
CHGA,MUC2,1.0
F2RL2,PRSS3,1.0
CCR7,CXCR2,0.9999999999999867
APOA4,PLA2G7,0.9999999938896743
CCL19,PTPRC,-0.9999999999997785
CD79B,PTPRC,-0.9999999071281926
COL2A1,COL5A2,0.9728132514775896
GCNT3,MUC2,0.9999999999972488
CARD11,DPP4,-0.9437307496091204
FCGR1A,ITGAX,0.9999793095016392
CXCL13,IL1B,0.9999999999982592
CD80,CEACAM5,-0.9999994922810234
FCN1,FCN3,-0.9999999999998769
CXCR4,MMP2,0.9999999998860457
CYP2C9,UGT2B7,0.9999999999776384
EDNRA,KCNJ2,-1.0
CYP2C18,CYP3A4,-0.9999999999435237
SLAMF1,SLAMF6,-1.0
IL1B,TREM1,-0.8561748599741139
MEP1B,NTS,-0.9999611077958392
TNFSF11,TNFSF13B,-0.9999999999946265
SLC13A2,SLC26A2,-0.9999999999993494
SERPINE1,TIMP1,0.9999999999991445
ERBB3,EREG,-0.9999999999999784
CCL11,DPP4,1.0
FCGR1A,IL6,0.9999825051668838
MT1E,MT1F,-0.9999878557656752
BATF,CXCR5,0.999957504232463
F5,SERPINA5,-0.9998467848855933
CD22,CD72,-0.9999999998230416
CCL4,CXCL9,-1.0
ADH1B,ADH1C,0.9999999999409802
HCAR2,NPY,0.9999999998570881
ADCYAP1,SST,0.9999953150913494
CXCL5,MMP1,-0.9999807672231784
CLDN18,CLDN8,0.9999999999971819
COL4A3,NPHS1,0.9999976359563946
CSF2,CXCL2,0.9693194571872523
CR2,MME,-0.9999999999999647
FCAMR,FCAR,1.0
ASAH2,SPHK1,-0.9999949820788825
POSTN,THBS2,-0.999999999616031
IL2RA,IL3RA,0.9999466542265013
ABCB1,CYP3A5,-0.9980606200272717
EIF1AY,TMSB4Y,-0.9998373787480179
PDCD1,TNF,-0.9999999999999658
S100A12,SLC11A1,-0.9999999999992107
CYP2B6,CYP4F3,-1.0
ARG2,IL1B,0.9999996037548778
CCR1,IFNG,0.9280358019822605
CXCL8,MMP3,-1.0
CCR1,PTPRC,-0.9996527405026816
CCL21,CXCL13,-1.0
CCL13,CXCL8,-1.0
HGF,IDO1,-1.0
CHGB,SST,1.0
CD5,MS4A1,-0.9999997488714062
CCL11,CXCR2,-0.9999999999999724
MEP1A,XPNPEP2,-0.9759547322872065
DGAT1,MOGAT3,-0.9998056687511141
CCR2,SELL,0.8174934691707217
