geneA,geneB,weight
MEP1B,XPNPEP2,0.9999997424258957
FN1,ITGAM,1.0
HLA-G,LILRA1,0.6608742910844871
CLDN18,OCLN,1.0
ADAMTS4,COL3A1,1.0
IGFBP5,LUM,0.8270251401013302
ADAMTS2,COL1A1,0.9999999992455264
CD28,CD38,-1.0
IL16,LTA,0.9999999972102425
APOB,OLR1,0.999999999988167
IL1A,ITGAX,-0.3055770312719636
EDN3,HCAR2,0.9413103573612536
CXCL9,IFNG,-0.9998376289244582
CXCL9,PTPRC,-0.9999940024543659
ADAM33,SPINK5,0.9999980217087054
DEFA5,MMP7,0.9999999999914967
SLC15A1,SLC6A19,-0.9999950925809649
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999992740621442
CCL13,CXCR1,-0.9999998434026893
CXCL10,SOCS1,-0.9959259535822635
ADCYAP1,GCG,-0.9203492265282113
CCL25,CXCL3,-1.0
CCL4L2,CCR4,-0.9999999999999911
FCGBP,MUC2,0.9999999999999584
IL1A,IL6,-0.9999885347089756
MMP12,TIMP1,-0.9999989870734429
PROM1,SEMA4A,-0.9999999991537896
NCF2,PRKCB,0.9999999982138468
LTF,SLC11A1,1.0
ACE2,VWF,0.9998213745666839
ADH6,UGT2B17,1.0
HGF,MMP1,-0.9999993089542237
BLK,CD19,-0.9999997520776563
LCN2,MMP9,-0.9999999963240688
HSPG2,LRP8,-0.9933705301578613
APOE,ICAM1,-1.0
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.9999991090118928
CD274,LILRB1,1.0
CD79B,CXCL9,0.9974815852253403
CD40,SELP,-1.0
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.999999991727183
FCAR,FCGR3B,-0.9999994938254546
C3,MMP9,-0.9574555890761537
CXCL10,IL1B,-1.0
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,-0.9999993139163119
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999997417
NTRK2,SH2B2,-1.0
FCMR,VPREB3,0.980087478038841
FOXP3,TNF,-1.0
ANPEP,PTPRC,-0.9906265627493508
COL14A1,LUM,-0.9999999999456997
COL3A1,FN1,0.9999836256306399
CYP2B6,CYP4F2,-0.9999999999953456
GBP4,IFI44L,0.9980424508265618
PTGS2,TNFAIP3,0.9999999921912247
SAMD9L,TRIM22,-0.9999999926024892
DOCK4,RPS28,0.9800253675930427
CCL2,CXCR1,0.9999994318628813
CHI3L1,IL13RA2,0.9798803122269032
ADCY7,PKLR,-0.9988943115646504
CNTFR,CSF3,0.9999999999999357
BPIFB1,MUC5B,-0.9968365960785078
MADCAM1,SELL,-1.0
CD14,FCER1G,-0.5013151615609662
ITGB7,VCAM1,-0.999907262863753
CTSG,LYZ,-0.9999999999962302
PHLPP2,PLEK,-1.0
FCGR3A,IFNG,-0.9959565573226306
CCL22,CXCR1,1.0
CCL2,ITGAX,0.999996638931566
ICOS,ITK,-1.0
FCGR3A,PTPRC,0.9999928583894161
PADI4,VWF,-0.9999999972976696
BLK,CXCR5,0.9999976770811452
CXCL10,RETNLB,-0.9999999999999999
GZMB,KLF2,0.9999997607812885
FCRL5,MS4A1,-1.0
CCR1,FCER1G,-0.9999305292986651
CD1C,CR2,-0.9999999999349395
HLA-DQA2,PDCD1,0.5850780672515699
COL4A3,ITGB7,-0.9999999995509345
AIM2,NLRC5,-0.9999997681934311
CYP26B1,CYP2B6,-0.9999999999999787
IL1B,SOCS3,0.9775492459330647
CTHRC1,POSTN,-0.9999931039058509
COL18A1,FN1,-0.9999999999473256
CCL2,IL6,1.0
CD79B,CR2,-0.9460459332110722
CCL20,CXCR4,-1.0
ITGAX,STAT1,0.830897056014576
CXCL10,TLR2,0.9999999671155818
CYP2C9,CYP2D6,0.999978916922296
FN1,TNFAIP6,0.9999999378712127
IFITM3,OAS2,0.9999999999787689
CCR1,CXCL9,-1.0
NCF2,RAC2,0.9999998577894452
CD79A,TCL1A,0.9994528302617801
ACE2,ITGB1,-0.9999999990838854
LTBP2,TGFB3,-0.9999999915233081
S100A12,S100A9,0.9999027475700021
CD22,ITGAX,-0.999999999925696
SEC24C,SEC31B,-0.9999999999996677
CCL22,CCL4,0.9999999999999676
ITGAM,NCF2,1.0
IDO1,ITGAX,-0.3380178688294501
CXCL10,ITGAM,0.999999994956627
CD40,STAT1,0.9999999999999994
ADH6,DGAT1,-0.987036306556495
CD40,CD83,1.0
CSF3R,OSM,-0.9999995395004512
EGR1,ERBB3,0.9999995288494623
HIF1A,IL6,0.999948149190708
BGN,CHAD,-0.9999999999999997
ARHGAP9,SASH3,0.9999999947872572
AICDA,POU2AF1,-0.9992905955241675
ICAM1,ITGAX,-0.9999999999453657
ITGB2,PTPRC,-0.9999998858604913
SNAI1,TWIST1,1.0
AGR2,FABP2,1.0
LY9,SLAMF1,-1.0
CXCL5,ICAM1,0.9999999999999877
MMRN1,SELP,-0.9999999894562938
CD1C,IFNG,0.9999999999955018
GP1BA,ICAM1,-1.0
CD19,SPIB,-0.9999999981776383
CD28,CD48,-0.9999999999760093
PI3,PIK3CD,-0.8958885953429834
CD1C,PTPRC,-0.999999999999763
HBEGF,PGF,0.9980877119516101
APOA1,GPT,-0.9999999999941425
MUC13,MUC5B,0.9993595195062954
REG1B,REG3A,1.0
FOXP3,TNFRSF4,-0.9999999999319289
IL6,LTA,0.9999999423097033
APOB,PLA2G12B,-0.9993378862959206
CD5,IL7R,-1.0
ICAM1,IL6,0.9999999620023506
HCAR2,SLC5A8,-1.0
CD72,CD79A,-1.0
CCL19,IFNG,0.9999931389628868
CHGA,MUC2,1.0
F2RL2,PRSS3,1.0
CCR7,CXCR2,0.9999999999976228
APOA4,PLA2G7,0.9999999744893899
CCL19,PTPRC,-0.9999999999999964
CD79B,PTPRC,-0.999999274332907
COL2A1,COL5A2,0.48500749071190996
GCNT3,MUC2,0.9999999999997548
CARD11,DPP4,-0.9877473931292704
FCGR1A,ITGAX,0.9999611389694419
CXCL13,IL1B,0.9999999993100235
CD80,CEACAM5,-0.9999999796038036
FCN1,FCN3,-0.99999999999987
CXCR4,MMP2,0.9999999995271778
CYP2C9,UGT2B7,0.9999999999750669
EDNRA,KCNJ2,-1.0
CYP2C18,CYP3A4,-0.999999999914033
SLAMF1,SLAMF6,-1.0
MEP1B,NTS,-0.9999550273268687
TNFSF11,TNFSF13B,-0.9999999999989451
SLC13A2,SLC26A2,-0.9999999999979852
SERPINE1,TIMP1,0.999999999999877
ERBB3,EREG,-0.9999999999999896
CCL11,DPP4,1.0
FCGR1A,IL6,0.9999663655733945
MT1E,MT1F,-0.9999875181901806
BATF,CXCR5,0.9999406417938518
F5,SERPINA5,-0.9999344281307471
CD22,CD72,-0.9999999999424561
CCL4,CXCL9,-1.0
ADH1B,ADH1C,0.9999999999289609
HCAR2,NPY,0.9999999982259619
ADCYAP1,SST,0.9999996505679793
CXCL5,MMP1,-0.9999999993320214
CLDN18,CLDN8,0.9999999999906103
COL4A3,NPHS1,0.9999971747818659
CSF2,CXCL2,0.9402834649041403
CR2,MME,-0.9999999999996844
FCAMR,FCAR,1.0
ASAH2,SPHK1,-0.9999681052401077
POSTN,THBS2,-0.9999999999889839
IL2RA,IL3RA,0.9988543848024782
ABCB1,CYP3A5,-0.9939951179194674
EIF1AY,TMSB4Y,-0.9998453407749427
PDCD1,TNF,-0.9999999999999983
S100A12,SLC11A1,-0.9999999999976993
CYP2B6,CYP4F3,-1.0
ARG2,IL1B,0.9999796644190423
CXCL8,MMP3,-1.0
CCR1,PTPRC,-0.9999820085188181
CCL21,CXCL13,-1.0
CCL13,CXCL8,-1.0
HGF,IDO1,-1.0
CHGB,SST,1.0
CD5,MS4A1,-0.9999999446555051
LOC102723407,MAF,-0.4987517160335689
CCL11,CXCR2,-0.9999999999996133
MEP1A,XPNPEP2,-0.8196950337497495
DGAT1,MOGAT3,-0.9999313630161193
ALPL,SPP1,0.9999349951227817
F13A1,VWF,0.9073997668959056
OSCAR,TNFSF11,0.7515630372791463
MT1G,MT1M,-1.0
CXCL8,FPR1,0.9938413518601651
MT1E,MT1G,-0.99999963614109
COL5A2,TNXB,-0.9999999999999981
HBEGF,PLAU,0.9999836908833074
CCL18,CXCL6,0.9999997718299102
CCN2,IFNG,-1.0
IL1B,VWF,-1.0
CTSK,TNF,-1.0
CAPN3,MYOF,0.9901420863850997
APOE,SCIN,0.9999998902000282
CCL28,CCR4,-0.9999999999980426
CCL25,CXCL1,-0.9999999957939547
CCN1,SERPINE1,0.9996976296393947
GNA15,RGS13,-0.9989537912914875
ITGAX,ITGB1,-0.9999999999999949
COL15A1,COL5A3,-0.9658171160205934
SLC15A1,SLC28A2,-0.9999999999999303
CD83,IL1B,1.0
CRISP3,PLB1,1.0
CCL4L2,CXCR2,-0.9936372433164662
FCAR,JCHAIN,-1.0
FCER1G,ITGB2,0.999999999998524
ALDH1A2,CYP26B1,-0.9999997911456308
CD27,NCR3,-1.0
MME,MUC2,0.9999999999995579
FCGR3B,FCRL1,0.9999999995300571
GNLY,STX11,-0.7674012685038742
LTF,SPP1,0.9999999946231163
EGR1,SNAI1,-0.9999977376471842
FCGR2A,ITGB2,0.9999999999645187
CD24,SELP,-1.0
FCGR2B,FCRL2,-1.0
CCL2,CXCL8,0.9999995761915242
CD38,CD69,-0.9999999999999991
IL1B,NLRP6,0.9717358885173097
ENTPD8,GUCY2C,1.0
HKDC1,KHK,1.0
LOC102723407,PIGR,-1.0
HSD3B1,HSD3B2,0.9999999958146947
MMRN1,VWF,-0.999904158795896
APOA1,LTF,-1.0
KRT7,MUC2,-0.9999999794177299
CXCL10,SAA2,-0.9999999999999999
NCF2,S100A9,0.9999999999999933
CCL4,IFNG,0.9966298262150666
CCL13,CXCL9,-0.344855378488674
FCGR3B,LOC102723407,-0.9999999999999967
PDCD1,TNFRSF4,0.9997751446099824
CCR2,CXCL13,-0.9999938193198045
HDC,HRH2,-1.0
CFTR,PDZK1,0.9999998719899416
ACE2,SLC6A19,0.9999999994665748
KDM5D,USP9Y,0.9984343261305701
CD38,NNMT,-0.9999963625411036
IL1B,SRGN,0.9999999997363027
CXCL3,IL1A,-0.9993787698236671
HGF,SEMA3B,1.0
DEGS2,RIC3,-0.9999998432903048
DAPP1,PIK3AP1,-0.9999800141610582
FCGR2B,ITGAX,-0.999999798321347
CCR2,TLR2,-0.9999999999999993
